galaxies_lens_mass_centre_0,galaxies_lens_mass_centre_1,galaxies_lens_mass_elliptical_comps_0,galaxies_lens_mass_elliptical_comps_1,galaxies_lens_mass_einstein_radius,galaxies_source_bulge_centre_0,galaxies_source_bulge_centre_1,galaxies_source_bulge_elliptical_comps_0,galaxies_source_bulge_elliptical_comps_1,galaxies_source_bulge_intensity,galaxies_source_bulge_effective_radius,galaxies_source_bulge_sersic_index,log_likelihood,log_prior,log_posterior,weights
-0.09164337608688451,-0.10675121353261581,0.18312383377391073,-0.017386742080363282,1.262836199726212,-0.12937569623981604,-0.031194103490147573,0.2934073451717798,-0.9632572846060821,178958.667501166,4.428841223727734,0.5213142160322402,-5245420101133753.0,1.3139100206001828,-5245420101133752.0,0.0
0.04505652976390874,0.0190716484201028,0.4724261543619923,0.33382102483899545,2.7733029221898033,0.42501607560863053,0.11194578722882437,0.01811191733408446,-0.692901840320534,22360.946711303626,3.022741177490395,0.8518271079666855,-2241382502508022.0,1.523730775753947,-2241382502508020.5,0.0
0.05938991046595542,0.17345118870174658,-0.007900674354989201,0.9550593012191402,0.6120336896783649,-0.06327017307511024,-0.0736989991775281,-0.14991823028140883,-0.0017783925428420666,185308.23782722498,0.1529714195923701,4.327982438522039,-251272099177159.75,8.27021283133159,-251272099177151.47,0.0
0.02910435314833853,0.06480122989297195,-0.8528060272286841,-0.023866091667760436,2.2420993418416315,-0.24814974827046193,-0.20043717019809737,0.8955567045622561,-0.7516157022813115,413107.1922689918,0.19957529320601308,1.5189033278340105,-127220789400769.14,5.828252250349015,-127220789400763.31,0.0
0.05014826836676323,0.033286052609426235,0.2201141144935148,-0.631348770085008,1.1704122321935457,-0.21307885682631575,-0.22822070208822984,0.3394383020605851,0.7439366238516865,1150.4120813885356,3.3759372201359534,5.404204102892257,-126862223666140.19,1.0198198437766341,-126862223666139.17,0.0
-0.13164476476447468,0.05032763134004053,0.9024667927553334,-0.4919876274993482,0.5090800692981866,0.30247776624174905,0.016551046804488528,0.2275790732425711,-0.4567107201396745,2946.0833501287134,22.575761120702232,0.627562859804117,-43418906125432.09,1.5476106583044633,-43418906125430.55,0.0
0.00388648929835322,0.021964094351801654,0.2454851053645548,-0.8015254504621181,1.0271812375088403,0.3109952043357755,-0.2644808458255987,-0.8103163447756923,-0.6337858197239714,1306.2977840549793,9.202412059127388,2.4743317469133332,-5046646512168.093,1.0602430789401152,-5046646512167.032,0.0
0.024787168367985304,0.11811549342059105,0.8492825677378433,-0.25681244012069837,2.4462234591753838,-0.19622685882773194,0.013852920179415282,-0.03411631263850534,-0.929786772799629,603.5298455094207,4.437635204735159,2.012965450642017,-3589151502953.1343,1.1702685269156023,-3589151502951.964,0.0
-0.030655590059769283,-0.09634503923823583,-0.0735275354503171,0.015232243849879534,0.70650168372532,-0.05334335493059859,0.5692480802231119,-0.7877223908452855,-0.17555552607135527,109.34712695326975,1.094453193491796,7.505359103628822,-40830664764.45636,3.2499994475356506,-40830664761.20636,0.0
0.005544645271000095,0.009759097247735143,0.23345916156429225,0.7389228320556611,1.4845764035427422,0.056310779737193215,0.02803443639416296,0.9720827846589746,-0.9613562006119161,72.84595849946336,2.191478635945652,7.923488806425971,-31968957451.214973,0.4983220725250852,-31968957450.716652,0.0
