centre,intensity,sigma,log_likelihood,log_prior,log_posterior,weights
50.94377790303286,0.9427085388043499,10.07994518305004,-54708.51214948601,1.0609010741046077,-54707.451248411904,1.0
49.43143260584883,1.1448454696875572,9.927720843996156,-54575.81568275813,0.873584816696838,-54574.942097941435,1.0
49.1859246246478,0.9306334808070512,9.965521149629595,-54709.09088912209,1.0745606591643222,-54708.01632846292,1.0
51.65433318817521,1.1308240602380941,10.197347313292504,-54609.7271741401,0.8850897817015689,-54608.842084358395,1.0
50.73351701569525,1.0521477419770389,9.915535057371393,-54631.67426808526,0.9505795501986414,-54630.723688535065,1.0
49.410350457741146,1.0490510360600307,9.88467330898981,-54631.23991609234,0.9535084741792641,-54630.28640761816,1.0
50.54821964169157,0.9442463268143125,9.96708267104565,-54699.61752403616,1.059067358139806,-54698.55845667802,1.0
50.74957950062725,1.0522230087915336,10.007302014567335,-54637.52833809815,0.9503699441307907,-54636.577968154015,1.0
49.351200757874075,1.000422545489192,9.949850051904138,-54665.12640281655,0.9996279333259674,-54664.126774883225,1.0
51.5929201182004,1.045021606176664,10.019864734685097,-54648.71365355736,0.9569259061827118,-54647.756727651176,1.0
49.4105971586106,0.9254200855343634,9.955769241188174,-54710.760236332746,1.080629461937587,-54709.679606870806,1.0
49.179520644846555,1.0254497544788297,10.08531068597534,-54659.0521674207,0.9753274193265518,-54658.07684000137,1.0
50.39432887554469,1.21153926156521,10.196898310235456,-54553.933102785995,0.8261716592464982,-54553.10693112675,1.0
49.22851212770816,0.9619987199759819,9.92872418465185,-54687.75170544394,1.03960402748579,-54686.71210141645,1.0
50.086964792080025,0.9125283270283188,10.055919533880438,-54723.02157894473,1.095918931825062,-54721.92566001291,1.0
50.42715283096037,1.030327175025797,9.994428350777183,-54648.789456731814,0.9705661113612385,-54647.81889062045,1.0
50.20527960448206,1.1722686006090306,10.198398417437957,-54576.859713791906,0.8538340569898649,-54576.00587973492,1.0
50.53887496442203,1.0325448767763392,10.076901368724966,-54652.851325759846,0.9685991845931843,-54651.882726575255,1.0
50.83806300083141,0.975496950443981,10.098683353454222,-54689.44285439826,1.025313298229914,-54688.417541100025,1.0
50.557811475088656,1.017596004801861,9.932609941200301,-54653.04900258548,0.982799089125947,-54652.06620349635,1.0
50.94166945118811,1.0259390406707232,9.936757282744317,-54649.99456883292,0.9747967745813226,-54649.01977205834,1.0
49.948103637207105,0.9555055780631965,10.010565194992187,-54694.538444407284,1.0465685979160664,-54693.49187580937,1.0
50.25460253584423,1.0285953048866,10.09769734052118,-54655.84836324191,0.9723905498766875,-54654.87597269203,1.0
49.1571829081274,1.1066861285367557,10.183232138225636,-54617.00187229238,0.9042700474519307,-54616.097602244925,1.0
50.854990765109534,1.0810326063500437,9.9287320650326,-54615.622976244405,0.9251430604226738,-54614.697833183985,1.0
49.472002392853874,1.0813474996984758,10.097003395903096,-54625.10590322444,0.924960294909442,-54624.180942929524,1.0
50.68384635040894,1.1356990306278405,10.090945339957093,-54592.652904661074,0.880680392961863,-54591.77222426811,1.0
49.53886504920844,0.9363885744629628,10.120902024013652,-54712.92029080235,1.0682250688682617,-54711.85206573348,1.0
49.22825249879759,0.9558418851028987,9.917978649852092,-54690.87116704595,1.0463326876012717,-54689.824834358355,1.0
50.179653631146515,1.0047887662137196,9.940044020778263,-54660.49418487528,0.9953059511630655,-54659.49887892412,1.0
50.895780042784885,0.9697760128950856,10.061990778659418,-54691.04530290415,1.031242803395652,-54690.01406010076,1.0
49.43143260584883,1.1448454696875572,9.927720843996156,-54575.81568275813,0.873584816696838,-54574.942097941435,1.0
49.92199842027262,0.9878704496207147,9.985189044579846,-54673.4714279493,1.0122828701436735,-54672.459145079156,1.0
52.31917071844431,1.1885822430888449,10.336997749408575,-54593.608775317014,0.8436098483774016,-54592.765165468634,1.0
50.73351701569525,1.0521477419770389,9.915535057371393,-54631.67426808526,0.9505795501986414,-54630.723688535065,1.0
48.81846644625075,1.0476491549145814,9.83047647793492,-54632.24771005494,0.9550927873506516,-54631.29261726759,1.0
51.22392682883932,0.949506658295613,9.864109104474561,-54693.91726970131,1.0535478286857223,-54692.86372187263,1.0
50.74957950062725,1.0522230087915336,10.007302014567335,-54637.52833809815,0.9503699441307907,-54636.577968154015,1.0
